avgHourlyAirTemp,IMF1 avgHourlyAirTemp,IMF2 avgHourlyAirTemp,IMF3 avgHourlyAirTemp,IMF4 avgHourlyAirTemp,IMF5 avgHourlyAirTemp,IMF Res avgHourlyAirTemp,avgHourlyHumidity,IMF1 avgHourlyHumidity,IMF2 avgHourlyHumidity,IMF3 avgHourlyHumidity,IMF4 avgHourlyHumidity,IMF5 avgHourlyHumidity,IMF Res avgHourlyHumidity,avgHourlyRainfallRate,IMF1 avgHourlyRainfallRate,IMF2 avgHourlyRainfallRate,IMF3 avgHourlyRainfallRate,IMF4 avgHourlyRainfallRate,IMF5 avgHourlyRainfallRate,IMF Res avgHourlyRainfallRate,avgHourlyBarometricPressure,IMF1 avgHourlyBarometricPressure,IMF2 avgHourlyBarometricPressure,IMF3 avgHourlyBarometricPressure,IMF4 avgHourlyBarometricPressure,IMF5 avgHourlyBarometricPressure,IMF Res avgHourlyBarometricPressure
-1.98,-267.6517933,-9.170345965,9.03185839,-2.988019683,0.433256417,268.3650441,58.96,267.9169259,-482.0081253,11.8366884,-6.512154136,-0.183962152,267.9106273,0,-267.5532844,3.058609034,3.934410524,-5.763735941,-0.711213596,267.0352144,1009.36,266.8982856,481.717811,-4.468795475,-0.448160905,-0.500784979,266.1616447
-1.52,-266.4174467,1.099107256,-7.804770682,5.328566874,0.292497007,265.9820462,57.74,266.3861393,-479.3303918,-4.902851348,7.681203982,1.462312485,266.4435873,0,-266.7806583,-6.632678745,1.998932022,1.851075607,1.947661824,267.6156676,1010.6,267.4059174,475.9230869,3.759802776,-6.526654341,1.461609445,268.5762378
-1.37,-268.1081177,4.465976141,-0.117250324,-7.045407623,0.092485659,269.3423138,63.68,268.8768716,-472.7065386,-1.37774656,-0.341215924,-0.521791489,269.7504209,0,-269.7620795,-3.380068974,0.565502973,5.561313575,-2.802460793,269.8177927,1010.75,270.7105637,470.6543256,-0.190590305,3.721390125,-3.707351771,269.5616626
-1.56,-271.5021463,4.628926918,-0.890882303,-1.646653266,-0.673328864,268.5240838,71.27,271.8658761,-470.127911,1.993436948,-3.105593386,2.625378231,268.0188131,0,-271.6818241,-1.484219135,1.449525985,-0.961777047,4.565022898,268.1132714,1010.35,271.0894822,470.6512185,-4.46471767,1.799881108,2.433225013,268.8409108
-1.5,-270.4070419,3.410064234,-3.791084727,0.990434463,-1.811028348,270.1086563,70.96,269.9354857,-471.0544292,6.124008626,-1.58269174,-4.474085808,272.0117125,0,-269.816292,-7.308819866,7.957555083,0.039904814,-3.586851542,272.7145035,1010.19,270.0422214,470.0580024,-4.149980466,2.353101976,-0.75397524,272.6406299
-1.24,-270.5624914,5.339708387,-10.25989193,0.936878856,1.452069194,271.8537269,76.52,271.3465405,-467.0498227,0.942474419,-2.577245335,3.440622249,270.4174309,0,-272.3525262,-8.414096119,11.24985129,-3.756024731,2.82554997,270.4472458,1010.34,273.4783903,462.5759085,3.258063347,-1.715989623,1.883186164,270.8604413
-1.37,-274.5888566,7.105034485,-10.30023653,3.924015862,0.818378115,271.6716647,88.48,275.5972034,-458.1638238,-6.430089852,4.700954361,0.133207436,272.6425484,0,-276.4909351,-2.093675,5.857191515,-0.513413486,-0.31766706,273.5584992,1009.67,277.2489748,455.5173782,7.20189526,-3.934031389,-0.878932837,274.514716
-2.55,-277.7393899,3.341697907,2.532689897,-4.794246376,-1.354719161,275.4639676,92.76,277.7377402,-455.564971,-1.644490869,-2.513305351,-1.571156318,276.3161833,0,-277.0935007,4.287762423,-3.608332039,1.059978116,-1.394226184,276.7483184,1010.25,275.908292,457.9627178,-3.478586585,4.181730919,-1.049253672,276.7250996
-2.45,-274.5516394,-5.240167879,-0.195061526,2.020661826,-0.755904953,276.2721119,85.73,273.4780053,-461.3420964,0.867060299,-2.232080591,-0.503128663,275.4622401,0,-272.9878883,2.480204654,-0.208586764,-3.444714414,-0.333145368,274.4941302,1009.47,273.1147982,464.0862406,-0.163576824,-0.857863636,-0.205843409,273.4962451
-2.8,-273.6877726,-4.565462035,0.722405037,2.085901651,-0.080846773,272.7257748,85.77,274.4664191,-465.1042599,0.708349503,3.125012808,0.026093347,272.5483851,0,-275.2275344,0.85389721,-0.389194058,1.68437035,0.109104659,272.9693562,1010.3,275.7855672,464.1666081,-1.947533305,-1.421041733,0.332569494,273.3838303
-3.01,-276.0109663,3.295220411,-1.112992847,-3.359646597,0.309369166,273.8690162,89.52,275.8834421,-461.7472447,2.906759855,-1.737114922,0.188012014,274.0261457,0,-275.5362118,-3.72138556,1.959014225,2.616226415,0.103271558,274.5790852,1008.57,275.2183504,458.6536082,-4.484568831,3.924276298,-0.103189698,275.3615236
-3.09,-275.1611011,2.932512611,-4.23956927,-1.782394193,-0.4778282,275.6383801,90.43,275.4267754,-455.7569253,2.238225916,-4.41502579,-1.384271549,274.3212213,0,-275.8608272,-0.38531648,6.052609907,-1.232136675,-1.109439938,272.5351104,1009.2,276.2067992,453.8986191,3.950962087,3.402352736,0.736730365,271.0045365
